images,pca_features1,pca_features2,pca_features3,pca_features4,best_pca
./SCUT-FBP5500_v2/Images/AF1.jpg,0.7107594387909034,0.1611171626008493,0.49737498749333947,0.5784944029272068,1
./SCUT-FBP5500_v2/Images/AF10.jpg,0.41060082597131736,0.47591490636202405,0.6622976927418716,0.22393135379343007,3
./SCUT-FBP5500_v2/Images/AF100.jpg,0.48826831287151345,0.4107587403171466,0.2744294689303181,0.4570383364310326,1
./SCUT-FBP5500_v2/Images/AF1000.jpg,0.6413694471183112,0.34866934178693176,0.28429136649372844,0.11319343115364044,1
./SCUT-FBP5500_v2/Images/AF1001.jpg,0.38710598904706384,0.6065786233885612,0.34878167925904136,0.32989122596928433,2
./SCUT-FBP5500_v2/Images/AF1002.jpg,0.8127930953199348,0.5450828822519189,0.4156442409186683,0.5142968244068578,1
./SCUT-FBP5500_v2/Images/AF1003.jpg,0.684218080637192,0.7795776250112773,0.6723648271014391,0.3667728336896501,2
./SCUT-FBP5500_v2/Images/AF1004.jpg,0.45696586263009725,0.27196262236261565,0.5962804919833689,0.2157223330098508,3
./SCUT-FBP5500_v2/Images/AF1005.jpg,0.5906642998140237,0.4063359174072454,0.36461284433053215,0.45526375184922085,1
./SCUT-FBP5500_v2/Images/AF1006.jpg,0.22494145728497636,0.4851320406502969,0.4836915519978812,0.6001928910024329,4
./SCUT-FBP5500_v2/Images/AF1007.jpg,0.4545555886603988,0.1890904121694453,0.24694475727627774,0.4548115156350256,4
./SCUT-FBP5500_v2/Images/AF1008.jpg,0.4862769051074885,0.14925614320050043,0.30851784633760987,0.34816604817103247,1
./SCUT-FBP5500_v2/Images/AF1009.jpg,0.6424559452476056,0.6745983455106789,0.17930735405762438,0.3896078387020263,2
./SCUT-FBP5500_v2/Images/AF101.jpg,0.43424693839719253,0.3120637554527612,0.33836694501243647,0.5681862055244384,4
./SCUT-FBP5500_v2/Images/AF1010.jpg,0.5122326803750723,0.35565119974596626,0.21358192949797034,0.36598169182429047,1
./SCUT-FBP5500_v2/Images/AF1011.jpg,0.4416720245267376,0.2164557077679235,0.3088028730392721,0.6496876635317972,4
./SCUT-FBP5500_v2/Images/AF1012.jpg,0.40680627044057194,0.4682984707188993,0.36666929096855844,0.20308068456754025,2
